taxonID	identifier	datasetID	datasetName	acceptedNameUsageID	parentNameUsageID	taxonomicStatus	taxonRank	verbatimTaxonRank	scientificName	kingdom	phylum	class	order	superfamily	family	genericName	genus	subgenus	specificEpithet	infraspecificEpithet	scientificNameAuthorship	source	namePublishedIn	nameAccordingTo	modified	description	taxonConceptID	scientificNameID	references	isExtinct
54115257	0dd82df88aa05e361b312af0eeda82f0	140	World Ferns in Species 2000 & ITIS Catalogue of Life: 2019	NA	54858688	accepted name	species	NA	Didymoglossum erosum (Willd.) Beentje	Plantae	Tracheophyta	Polypodiopsida	Hymenophyllales	NA	Hymenophyllaceae	Didymoglossum	Didymoglossum	NA	erosum	NA	(Willd.) Beentje	NA	NA	Hassler M.	Nov 2018	NA	NA	ferns-2087	http://www.catalogueoflife.org/col/details/species/id/0dd82df88aa05e361b312af0eeda82f0	FALSE
54134311	NA	140	World Ferns in Species 2000 & ITIS Catalogue of Life: 2019	54115258	NA	synonym	species	NA	Hymenophyllum exiguum Bedd.	Plantae	NA	NA	NA	NA	NA	Hymenophyllum	Didymoglossum	NA	exiguum	NA	Bedd.	NA	NA	NA	NA	NA	NA	ferns-2088-syn-1	http://www.catalogueoflife.org/col/details/species/id/7757ad6c576e1929f2b672c835302e0e/synonym/d01839a3edaa6558db0528644e0b4974	NA
54134312	NA	140	World Ferns in Species 2000 & ITIS Catalogue of Life: 2019	54115258	NA	synonym	species	NA	Trichomanes exiguum (Bedd.) Bak.	Plantae	NA	NA	NA	NA	NA	Trichomanes	Didymoglossum	NA	exiguum	NA	(Bedd.) Bak.	NA	NA	NA	NA	NA	NA	ferns-2088-syn-2	http://www.catalogueoflife.org/col/details/species/id/7757ad6c576e1929f2b672c835302e0e/synonym/ed86877fa2703f26541437bc4a1156e0	NA
54134313	NA	140	World Ferns in Species 2000 & ITIS Catalogue of Life: 2019	54115258	NA	synonym	species	NA	Trichomanes paradoxum Domin	Plantae	NA	NA	NA	NA	NA	Trichomanes	Didymoglossum	NA	paradoxum	NA	Domin	NA	NA	NA	NA	NA	NA	ferns-2088-syn-3	http://www.catalogueoflife.org/col/details/species/id/7757ad6c576e1929f2b672c835302e0e/synonym/a4f9cc02a748d73237375f453055e3ae	NA
54115258	7757ad6c576e1929f2b672c835302e0e	140	World Ferns in Species 2000 & ITIS Catalogue of Life: 2019	NA	54858688	accepted name	species	NA	Didymoglossum exiguum (Bedd.) Copel.	Plantae	Tracheophyta	Polypodiopsida	Hymenophyllales	NA	Hymenophyllaceae	Didymoglossum	Didymoglossum	NA	exiguum	NA	(Bedd.) Copel.	NA	NA	Hassler M.	Nov 2018	NA	NA	ferns-2088	http://www.catalogueoflife.org/col/details/species/id/7757ad6c576e1929f2b672c835302e0e	FALSE
54134314	NA	140	World Ferns in Species 2000 & ITIS Catalogue of Life: 2019	54115259	NA	synonym	species	NA	Trichomanes falsinervulosum (Nishida) Fosb.	Plantae	NA	NA	NA	NA	NA	Trichomanes	Didymoglossum	NA	falsinervulosum	NA	(Nishida) Fosb.	NA	NA	NA	NA	NA	NA	ferns-2089-syn-1	http://www.catalogueoflife.org/col/details/species/id/01d22b9923bdb732b5ebf50bcd0cb9a7/synonym/dc78e31b12f561d6377a9c829df9f97c	NA
54134315	NA	140	World Ferns in Species 2000 & ITIS Catalogue of Life: 2019	54115259	NA	synonym	species	NA	Microgonium falsinervulosum Nishida	Plantae	NA	NA	NA	NA	NA	Microgonium	Didymoglossum	NA	falsinervulosum	NA	Nishida	NA	NA	NA	NA	NA	NA	ferns-2089-syn-2	http://www.catalogueoflife.org/col/details/species/id/01d22b9923bdb732b5ebf50bcd0cb9a7/synonym/db2ff210bb5ced81f5956396cdfb742a	NA
54134316	NA	140	World Ferns in Species 2000 & ITIS Catalogue of Life: 2019	54115259	NA	synonym	species	NA	Trichomanes falsivenulosum (Nishida) C. V. Morton	Plantae	NA	NA	NA	NA	NA	Trichomanes	Didymoglossum	NA	falsivenulosum	NA	(Nishida) C. V. Morton	NA	NA	NA	NA	NA	NA	ferns-2089-syn-3	http://www.catalogueoflife.org/col/details/species/id/01d22b9923bdb732b5ebf50bcd0cb9a7/synonym/f90196dd1919e7e098a3fa8c21102cc6	NA
54115259	01d22b9923bdb732b5ebf50bcd0cb9a7	140	World Ferns in Species 2000 & ITIS Catalogue of Life: 2019	NA	54858688	provisionally accepted name	species	NA	Didymoglossum falsinervulosum (Nishida) comb. ined.	Plantae	Tracheophyta	Polypodiopsida	Hymenophyllales	NA	Hymenophyllaceae	Didymoglossum	Didymoglossum	NA	falsinervulosum	NA	(Nishida) comb. ined.	NA	NA	Hassler M.	Nov 2018	NA	NA	ferns-2089	http://www.catalogueoflife.org/col/details/species/id/01d22b9923bdb732b5ebf50bcd0cb9a7	FALSE
54134317	NA	140	World Ferns in Species 2000 & ITIS Catalogue of Life: 2019	54115260	NA	synonym	species	NA	Trichomanes fontanum Lindm.	Plantae	NA	NA	NA	NA	NA	Trichomanes	Didymoglossum	NA	fontanum	NA	Lindm.	NA	NA	NA	NA	NA	NA	ferns-2090-syn-1	http://www.catalogueoflife.org/col/details/species/id/e41302e06aa170cc6090ed4909da96df/synonym/34ff3078baf6d01b0cfb8b06358c394f	NA
54115260	e41302e06aa170cc6090ed4909da96df	140	World Ferns in Species 2000 & ITIS Catalogue of Life: 2019	NA	54858688	accepted name	species	NA	Didymoglossum fontanum (Lindm.) Copel.	Plantae	Tracheophyta	Polypodiopsida	Hymenophyllales	NA	Hymenophyllaceae	Didymoglossum	Didymoglossum	NA	fontanum	NA	(Lindm.) Copel.	NA	NA	Hassler M.	Nov 2018	NA	NA	ferns-2090	http://www.catalogueoflife.org/col/details/species/id/e41302e06aa170cc6090ed4909da96df	FALSE
54134318	NA	140	World Ferns in Species 2000 & ITIS Catalogue of Life: 2019	54115261	NA	synonym	species	NA	Trichomanes fulgens C. Chr.	Plantae	NA	NA	NA	NA	NA	Trichomanes	Didymoglossum	NA	fulgens	NA	C. Chr.	NA	NA	NA	NA	NA	NA	ferns-2091-syn-1	http://www.catalogueoflife.org/col/details/species/id/8bcebfa55b5555d96f0590e0a8e923d6/synonym/0e79e5cee576a7f870e648b91daf4ea8	NA
54115261	8bcebfa55b5555d96f0590e0a8e923d6	140	World Ferns in Species 2000 & ITIS Catalogue of Life: 2019	NA	54858688	accepted name	species	NA	Didymoglossum fulgens (C. Chr.) J. P. Roux	Plantae	Tracheophyta	Polypodiopsida	Hymenophyllales	NA	Hymenophyllaceae	Didymoglossum	Didymoglossum	NA	fulgens	NA	(C. Chr.) J. P. Roux	NA	NA	Hassler M.	Nov 2018	NA	NA	ferns-2091	http://www.catalogueoflife.org/col/details/species/id/8bcebfa55b5555d96f0590e0a8e923d6	FALSE
54134319	NA	140	World Ferns in Species 2000 & ITIS Catalogue of Life: 2019	54115262	NA	synonym	species	NA	Trichomanes godmanii Hook.	Plantae	NA	NA	NA	NA	NA	Trichomanes	Didymoglossum	NA	godmanii	NA	Hook.	NA	NA	NA	NA	NA	NA	ferns-2092-syn-1	http://www.catalogueoflife.org/col/details/species/id/13b6d4d96449264739efe8782fed5a42/synonym/1f57d8f5a185b1484ea479dd2d76df07	NA
54134320	NA	140	World Ferns in Species 2000 & ITIS Catalogue of Life: 2019	54115262	NA	synonym	species	NA	Microgonium godmanii (Hook.) C. Sánchez	Plantae	NA	NA	NA	NA	NA	Microgonium	Didymoglossum	NA	godmanii	NA	(Hook.) C. Sánchez	NA	NA	NA	NA	NA	NA	ferns-2092-syn-2	http://www.catalogueoflife.org/col/details/species/id/13b6d4d96449264739efe8782fed5a42/synonym/ad2527eab0ac1119a8fc231d145aea92	NA
